"method","I","B","C","G","seed","lp","projection","runtime","EI_Z","EI_V","MAE_Z","MAE_V","MAE_p"
"mvn_pdf",100,50,10,8,5,"project_lp",TRUE,7.148506292,24.4292980230164,8.1302097340736,0.610732450575408,10.162762167592,0.0193491716483317
"mvn_pdf",100,50,10,8,5,"project_lp",FALSE,3.216341104,22.9871001806749,6.28965623158602,0.574677504516872,7.86207028948252,0.0148811551556403
"mvn_pdf",100,50,10,8,6,"",TRUE,3.82265222,22.7952824238507,7.23963335253007,0.569882060596268,9.04954169066259,0.0168311742481821
"mvn_pdf",100,50,10,8,6,"lp",TRUE,6.987809703,22.9897587268593,7.90553412485198,0.574743968171483,9.88191765606498,0.017859039281081
"mvn_pdf",100,50,10,8,6,"lp",FALSE,3.793274982,22.637488682119,7.24429332807797,0.565937217052976,9.05536666009746,0.0168311742481821
"mvn_pdf",100,50,10,8,6,"project_lp",TRUE,9.092513338,23.1712054154212,8.59104044198696,0.579280135385531,10.7388005524837,0.0188031612089467
"mvn_pdf",100,50,10,8,6,"project_lp",FALSE,3.820350439,22.6407604642872,7.21609998014162,0.56601901160718,9.02012497517703,0.0168311742481821
"mvn_pdf",100,50,10,8,7,"",TRUE,3.379169529,22.1670494489957,5.75136231804113,0.554176236224889,7.18920289755141,0.0151213227753496
"mvn_pdf",100,50,10,8,7,"lp",TRUE,4.573073006,23.1767314107905,7.90753718682977,0.579418285269761,9.88442148353721,0.0191338062609915
"mvn_pdf",100,50,10,8,7,"lp",FALSE,3.363872101,22.344903278724,5.75614172085913,0.558622581968099,7.19517715107391,0.0151213227753496
"mvn_pdf",100,50,10,8,7,"project_lp",TRUE,5.041792468,23.3141882147638,7.71855136199734,0.582854705369095,9.64818920249667,0.0194132440725085
"mvn_pdf",100,50,10,8,7,"project_lp",FALSE,3.260681415,22.2888543073259,5.73005216415756,0.557221357683148,7.16256520519694,0.0151213227753496
"mvn_pdf",100,50,10,8,8,"",TRUE,3.572552753,22.2289192980784,7.18069723301044,0.555722982451959,8.97587154126305,0.0161594110743141
"mvn_pdf",100,50,10,8,8,"lp",TRUE,7.351139608,23.1269484024333,8.62668728548294,0.578173710060832,10.7833591068537,0.0184629369526485
"mvn_pdf",100,50,10,8,8,"lp",FALSE,3.637852059,22.0513929414246,7.14779864885289,0.551284823535615,8.93474831106611,0.0161594110743141
"mvn_pdf",100,50,10,8,8,"project_lp",TRUE,7.679035222,23.2041043968484,9.30613914557543,0.580102609921209,11.6326739319693,0.0193769272209963
"mvn_pdf",100,50,10,8,8,"project_lp",FALSE,3.617744552,22.0211422180558,7.16389386633138,0.550528555451396,8.95486733291422,0.0161594110743141
"mvn_pdf",100,50,10,8,9,"",TRUE,3.810547339,21.1603952464748,5.74611990560979,0.529009881161872,7.18264988201224,0.0132282297361373
"mvn_pdf",100,50,10,8,9,"lp",TRUE,5.746972091,21.7607431275464,6.66405955182156,0.544018578188658,8.33007443977695,0.0141571171872425
"mvn_pdf",100,50,10,8,9,"lp",FALSE,3.820241051,21.1283317464118,5.73385700085798,0.528208293660297,7.16732125107248,0.0132282297361373
"mvn_pdf",100,50,10,8,9,"project_lp",TRUE,9.236974993,21.7565338151495,6.47542608474108,0.54391334537874,8.09428260592635,0.0134508593226652
"mvn_pdf",100,50,10,8,9,"project_lp",FALSE,3.788584541,21.1120730020813,5.661913454636,0.527801825052031,7.077391818295,0.0132282297361373
"mvn_pdf",100,50,10,8,10,"",TRUE,3.582310179,23.9448525988242,7.31038337971248,0.598621314970606,9.1379792246406,0.0180894912603028
"mvn_pdf",100,50,10,8,10,"lp",TRUE,7.043322227,24.550885344574,8.53473973889366,0.61377213361435,10.6684246736171,0.0200130892717097
"mvn_pdf",100,50,10,8,10,"lp",FALSE,3.621616715,23.9129675306307,7.39879269473476,0.597824188265768,9.24849086841845,0.0180894912603028
"mvn_pdf",100,50,10,8,10,"project_lp",TRUE,12.557299477,24.5637144336108,8.58439764401386,0.614092860840269,10.7304970550173,0.0198421601661283
"mvn_pdf",100,50,10,8,10,"project_lp",FALSE,3.615367495,23.8539336146648,7.39187429638316,0.596348340366618,9.23984287047895,0.0180894912603028
"mult",100,50,10,8,1,"",TRUE,0.00031652,23.8153755600713,7.00315584861941,0.595384389001784,8.75394481077426,0.0159221365895802
